Year	Region	Area	Commodity	Type	Revenue
2012	Atlantic	North Atlantic	Wind	Rents	128842.84
2012	Gulf		Gas	Royalties	-56804.14
2012	Pacific	Southern California	Oil & Gas	Other Revenues	55890.03
2012	Pacific	Southern California	Oil & Gas	Other Royalties	75743.95
2012	Pacific	Southern California	Gas	Royalties	5795627.79
2012	Pacific	Southern California	NGL	Royalties	811638.16
2012	Pacific	Southern California	Oil	Royalties	292976720.56
2012	Pacific	Southern California	Other	Royalties	49553.05
2013	Alaska	Beaufort Sea	Oil	Other Royalties	-7500.82
2013	Alaska	Beaufort Sea	Oil & Gas	Rents	5136075.00
2013	Alaska	Beaufort Sea	Oil	Royalties	10565860.56
2013	Alaska	Chukchi Sea	Oil & Gas	Rents	7551790.59
2013	Atlantic	Mid Atlantic	Wind	Bonus	1600000.00
2013	Atlantic	Mid Atlantic	Wind	Rents	169198.00
2013	Atlantic	North Atlantic	Wind	Bonus	3113568.50
2013	Atlantic	North Atlantic	Wind	Rents	937467.92
2013	Pacific	Southern California	Oil & Gas	Other Revenues	39703.60
2013	Pacific	Southern California	Oil & Gas	Other Royalties	-240344.56
2013	Pacific	Southern California	Gas	Royalties	7428904.13
2013	Pacific	Southern California	NGL	Royalties	746044.97
2013	Pacific	Southern California	Oil	Royalties	287819066.73
2013	Pacific	Southern California	Other	Royalties	20444.25
