CY	Onshore/Offshore	County Code	St	County	Revenue Type	Commodity	Product	Royalty/Revenue
2004	Onshore	05083	CO	Montezuma	Other Revenues	Oil & Gas		 $ 1,504.44 
2004	Onshore	05083	CO	Montezuma	Other Roy Vals	Oil & Gas		 $ 179,556.81 
2004	Onshore	05083	CO	Montezuma	Royalties	Gas	Gas Plant Products	 $ 222,495.69 
2004	Onshore	05083	CO	Montezuma	Royalties	Gas	Processed (Residue) Gas	 $ 585,803.32 
2004	Onshore	05083	CO	Montezuma	Royalties	Gas	Unprocessed (Wet) Gas	 $ 16,893.14 
2004	Onshore	05083	CO	Montezuma	Royalties	Oil	Condensate	 $ 5,467.28 
2004	Onshore	05083	CO	Montezuma	Royalties	Oil	Oil	 $ 895,429.91 
2004	Onshore	05083	CO	Montezuma	Royalties	Other	Carbon Dioxide Gas (CO2)	 $ 11,623,220.43 
2004	Onshore	05087	CO	Morgan	Other Revenues	Oil & Gas		 $ 354.00 
2004	Onshore	05087	CO	Morgan	Royalties	Oil	Oil	 $ 1,856.57 
2004	Onshore	05097	CO	Pitkin	Other Revenues	Oil & Gas		 $ 26,458.23 
2004	Onshore	05099	CO	Prowers	Royalties	Gas	Unprocessed (Wet) Gas	 $ 5,027.51 
2004	Onshore	05103	CO	Rio Blanco	Other Revenues	Oil & Gas		 $ 61,595.14 
2004	Onshore	05103	CO	Rio Blanco	Other Revenues	Sodium		 $ 102,491.00 
2004	Onshore	05103	CO	Rio Blanco	Other Roy Vals	Oil & Gas		 $ 954,014.51 
2004	Onshore	05103	CO	Rio Blanco	Royalties	Coal	Coal-Subbituminous-Processed	 $ 59,676.28 
2004	Onshore	05103	CO	Rio Blanco	Royalties	Gas	Gas Lost - Flared or Vented	 $ 431.38 
2004	Onshore	05103	CO	Rio Blanco	Royalties	Gas	Gas Plant Products	 $ 1,709,743.98 
2004	Onshore	05103	CO	Rio Blanco	Royalties	Gas	Processed (Residue) Gas	 $ 11,338,060.41 
2004	Onshore	05103	CO	Rio Blanco	Royalties	Gas	Unprocessed (Wet) Gas	 $ 4,830,552.82 
2004	Onshore	05103	CO	Rio Blanco	Royalties	Oil	Condensate	 $ 764,515.29 
2004	Onshore	05103	CO	Rio Blanco	Royalties	Oil	Oil	 $ 12,612,198.05 
2004	Onshore	05103	CO	Rio Blanco	Royalties	Sodium	Soda Ash-Granular	 $ (127,123.91)
2004	Onshore	05103	CO	Rio Blanco	Royalties	Sodium	Sodium Bicarbonate Animal Feed	 $ (28,843.19)
2004	Onshore	05107	CO	Routt	Other Roy Vals	Oil & Gas		 $ 800.00 
2004	Onshore	05107	CO	Routt	Royalties	Coal	Coal-Subbituminous-Processed	 $ (527,491.56)
2004	Onshore	05107	CO	Routt	Royalties	Oil	Oil	 $ 55,682.26 
2004	Onshore	05113	CO	San Miguel	Other Revenues	Oil & Gas		 $ 1,379.46 
2004	Onshore	05113	CO	San Miguel	Other Roy Vals	Oil & Gas		 $ (282,285.00)
2004	Onshore	05113	CO	San Miguel	Royalties	Gas	Gas Plant Products	 $ 30,513.33 
2004	Onshore	05113	CO	San Miguel	Royalties	Gas	Processed (Residue) Gas	 $ 172,691.54 
2004	Onshore	05113	CO	San Miguel	Royalties	Gas	Unprocessed (Wet) Gas	 $ 9,951,369.17 
2004	Onshore	05113	CO	San Miguel	Royalties	Oil	Condensate	 $ 91,727.04 
2004	Onshore	05113	CO	San Miguel	Royalties	Oil	Oil	 $ 2,010.22 
2004	Onshore	05121	CO	Washington	Royalties	Gas	Processed (Residue) Gas	 $ 1,505.04 
2004	Onshore	05121	CO	Washington	Royalties	Gas	Unprocessed (Wet) Gas	 $ 33,012.90 
2004	Onshore	05121	CO	Washington	Royalties	Oil	Oil	 $ 29,725.66 
2004	Onshore	05123	CO	Weld	Other Revenues	Oil & Gas		 $ 3,466.18 
2004	Onshore	05123	CO	Weld	Other Roy Vals	Oil & Gas		 $ 19,318.02 
2004	Onshore	05123	CO	Weld	Royalties	Gas	Gas Plant Products	 $ 92,928.97 
2004	Onshore	05123	CO	Weld	Royalties	Gas	Processed (Residue) Gas	 $ 572,520.73 
2004	Onshore	05123	CO	Weld	Royalties	Gas	Unprocessed (Wet) Gas	 $ 460,295.78 
2004	Onshore	05123	CO	Weld	Royalties	Oil	Condensate	 $ 32,794.59 
2004	Onshore	05123	CO	Weld	Royalties	Oil	Oil	 $ 627,909.47 
2004	Onshore	05125	CO	Yuma	Other Revenues	Oil & Gas		 $ 926.00 
2004	Onshore	05125	CO	Yuma	Other Roy Vals	Oil & Gas		 $ (6,000.00)
2004	Onshore	05125	CO	Yuma	Royalties	Gas	Unprocessed (Wet) Gas	 $ 475,142.64 
2004	Onshore	09049	FL	Hardee	Other Revenues	Phosphate		 $ 2,248.00 
2004	Onshore	09049	FL	Hardee	Royalties	Solids	Phosphate Raw Ore	 $ (61,219.67)
2004	Onshore	09105	FL	Polk	Royalties	Solids	Phosphate Raw Ore	 $ 61,219.65 
2004	Onshore	09113	FL	Santa Rosa	Royalties	Oil	Oil	 $ 1,935.55 
2004	Onshore	11011	ID	Bingham	Other Revenues	Phosphate		 $ 2,699.54 
2004	Onshore	11029	ID	Caribou	Other Revenues	Phosphate		 $ 37,096.46 
2004	Onshore	12027	IL	Clinton	Royalties	Oil	Oil	 $ 118,871.61 
2004	Onshore	12051	IL	Fayette	Other Revenues	Oil & Gas		 $ 44.00 
2004	Onshore	12055	IL	Franklin	Royalties	Oil	Oil	 $ 55,872.96 
2004	Onshore	12069	IL	Hardin	Other Revenues	Hardrock		 $ (549.00)
2004	Onshore	15033	KS	Comanche	Royalties	Gas	Unprocessed (Wet) Gas	 $ 5,286.07 
2004	Onshore	15053	KS	Ellsworth	Royalties	Gas	Unprocessed (Wet) Gas	 $ 16,671.52 
2004	Onshore	15055	KS	Finney	Other Revenues	Oil & Gas		 $ (410.34)
2004	Onshore	15055	KS	Finney	Other Roy Vals	Gas	Processed (Residue) Gas	 $ 565.78 
2004	Onshore	15055	KS	Finney	Other Roy Vals	Gas	Unprocessed (Wet) Gas	 $ 114.23 
2004	Onshore	15055	KS	Finney	Other Roy Vals	Oil & Gas		 $ (423.41)
2004	Onshore	15055	KS	Finney	Royalties	Gas	Fuel Gas	 $ 1,462.18 
2004	Onshore	15055	KS	Finney	Royalties	Gas	Gas Plant Products	 $ 11,017.77 
2004	Onshore	15055	KS	Finney	Royalties	Gas	Processed (Residue) Gas	 $ 94,093.98 
2004	Onshore	15055	KS	Finney	Royalties	Gas	Unprocessed (Wet) Gas	 $ 805,812.87 
