Land Category	Calendar Year	Ofshore Region	Planning Area	Offshore Area	Protraction	Volume Type	Commodity	Product	 Sales Volumes 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Gas	Processed (Residue) Gas (mcf)	  50,467,099.13 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  53,650,756.17 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	NGL	Gas Plant Products (gal)	  45,799,081.49 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Oil	Condensate (bbl)	  1,457,581.99 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  68,275.99 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Oil	Inlet Scrubber (bbl)	  123.48 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Oil	Oil (bbl)	  13,740,607.60 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area	LA5	Royalty	Other Products	Sulfur (lton)	  (0.07)
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Royalty	Gas	Flash Gas (mcf)	  87,342.34 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Royalty	Gas	Processed (Residue) Gas (mcf)	  21,354,435.52 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  25,710,614.85 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Royalty	NGL	Gas Plant Products (gal)	  22,223,134.23 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Royalty	Oil	Condensate (bbl)	  978,343.03 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  43,007.52 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Royalty	Oil	Inlet Scrubber (bbl)	  492.74 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	Ship Shoal Area, South Addition	LA5A	Royalty	Oil	Oil (bbl)	  3,087,978.67 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	Gas	Flash Gas (mcf)	  49,060.00 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	Gas	Fuel Gas (mcf)	  654,133.22 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	Gas	Processed (Residue) Gas (mcf)	  47,973,860.91 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  51,246,542.22 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	NGL	Gas Plant Products (gal)	  151,278,213.18 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	Oil	Condensate (bbl)	  2,259,046.28 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  53,344.40 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	Oil	Inlet Scrubber (bbl)	  103.88 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, North Addition	LA3D	Royalty	Oil	Oil (bbl)	  5,485,286.44 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Royalty	Gas	Flash Gas (mcf)	  12,431.00 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Royalty	Gas	Processed (Residue) Gas (mcf)	  21,827,706.59 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Royalty	Gas	Unprocessed (Wet) Gas (mcf)	  21,335,280.00 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Royalty	NGL	Gas Plant Products (gal)	  24,640,751.97 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Royalty	Oil	Condensate (bbl)	  728,497.19 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Royalty	Oil	Drip or Scrubber Condensate (bbl)	  9,698.43 
Federal Offshore	2004	Gulf of Mexico	Central Gulf of Mexico	South Marsh Island Area, South Addition	LA3C	Royalty	Oil	Inlet Scrubber (bbl)	  13.63 
