State	ELEC.GEN.ALL-US-99.A	ELEC.GEN.ALL	Source	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Ohio	ELEC.GEN.BIO-OH-99.A	ELEC.GEN.BIO	Biomass (total)	428	432	444	420	608	619	675	722	717	817
Ohio	ELEC.GEN.WWW-OH-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	398	406	410	399	418	410	399	390	351	343
Ohio	ELEC.GEN.WAS-OH-99.A	ELEC.GEN.WAS	Other biomass	30	27	34	21	190	210	276	332	366	474
Wisconsin	ELEC.GEN.ALL-WI-99.A	ELEC.GEN.ALL	General
Wisconsin	ELEC.GEN.HYC-WI-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1981	1740	1679	1516	1616	1394	2112	2147	1522	1979
Wisconsin	ELEC.GEN.AOR-WI-99.A	ELEC.GEN.AOR	All Other Renewables	1114	1182	1266	1330	1754	2340	2474	2765	3223	3192
Wisconsin	ELEC.GEN.WND-WI-99.A	ELEC.GEN.WND	Wind	104	93	101	109	487	1052	1088	1188	1558	1558
Wisconsin	ELEC.GEN.SUN-WI-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Wisconsin	ELEC.GEN.GEO-WI-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Wisconsin	ELEC.GEN.BIO-WI-99.A	ELEC.GEN.BIO	Biomass (total)	1010	1089	1164	1220	1267	1288	1385	1577	1666	1634
Wisconsin	ELEC.GEN.WWW-WI-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	605	740	774	785	775	769	878	1032	1149	1150
Wisconsin	ELEC.GEN.WAS-WI-99.A	ELEC.GEN.WAS	Other biomass	405	349	390	435	492	519	508	545	517	484
West North Central	ELEC.GEN.ALL-WNC-99.A	ELEC.GEN.ALL	General
Iowa	ELEC.GEN.ALL-IA-99.A	ELEC.GEN.ALL	General
Iowa	ELEC.GEN.HYC-IA-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	946	960	909	962	819	971	948	925	766	749
Iowa	ELEC.GEN.AOR-IA-99.A	ELEC.GEN.AOR	All Other Renewables	1156	1764	2455	2908	4251	7589	9360	10870	14183	15727
Iowa	ELEC.GEN.WND-IA-99.A	ELEC.GEN.WND	Wind	1050	1647	2318	2757	4084	7421	9170	10709	14032	15568
Iowa	ELEC.GEN.SUN-IA-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Iowa	ELEC.GEN.GEO-IA-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Iowa	ELEC.GEN.BIO-IA-99.A	ELEC.GEN.BIO	Biomass (total)	106	117	137	151	167	168	190	161	151	159
Iowa	ELEC.GEN.WWW-IA-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	0	0	0	--	--	--	0
Iowa	ELEC.GEN.WAS-IA-99.A	ELEC.GEN.WAS	Other biomass	106	117	137	151	167	168	190	161	151	159
Kansas	ELEC.GEN.ALL-KS-99.A	ELEC.GEN.ALL	General
Kansas	ELEC.GEN.HYC-KS-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	13	11	10	11	11	13	13	15	10	15
Kansas	ELEC.GEN.AOR-KS-99.A	ELEC.GEN.AOR	All Other Renewables	359	426	992	1153	1759	2863	3459	3779	5253	9491
Kansas	ELEC.GEN.WND-KS-99.A	ELEC.GEN.WND	Wind	359	426	992	1153	1759	2863	3405	3720	5195	9433
Kansas	ELEC.GEN.SUN-KS-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Kansas	ELEC.GEN.GEO-KS-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Kansas	ELEC.GEN.BIO-KS-99.A	ELEC.GEN.BIO	Biomass (total)	--	--	--	--	--	0	54	59	57	58
Kansas	ELEC.GEN.WWW-KS-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	--
Kansas	ELEC.GEN.WAS-KS-99.A	ELEC.GEN.WAS	Other biomass	--	--	--	--	--	0	54	59	57	58
Minnesota	ELEC.GEN.ALL-MN-99.A	ELEC.GEN.ALL	General
Minnesota	ELEC.GEN.HYC-MN-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	738	775	572	654	727	809	840	746	561	511
Minnesota	ELEC.GEN.AOR-MN-99.A	ELEC.GEN.AOR	All Other Renewables	1797	2652	3059	3933	5851	6737	6640	8406	9454	9871
Minnesota	ELEC.GEN.WND-MN-99.A	ELEC.GEN.WND	Wind	812	1582	2055	2639	4355	5053	4792	6726	7615	8259
Minnesota	ELEC.GEN.SUN-MN-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	0	3
Minnesota	ELEC.GEN.GEO-MN-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
Minnesota	ELEC.GEN.BIO-MN-99.A	ELEC.GEN.BIO	Biomass (total)	985	1070	1004	1294	1496	1684	1848	1680	1838	1610
Minnesota	ELEC.GEN.WWW-MN-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	652	656	590	727	725	796	933	748	839	1036
Minnesota	ELEC.GEN.WAS-MN-99.A	ELEC.GEN.WAS	Other biomass	332	413	414	566	771	887	915	932	999	574
Missouri	ELEC.GEN.ALL-MO-99.A	ELEC.GEN.ALL	General
Missouri	ELEC.GEN.HYC-MO-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	1480	1159	199	1204	2047	1817	1539	1185	714	1136
Missouri	ELEC.GEN.AOR-MO-99.A	ELEC.GEN.AOR	All Other Renewables	10	9	24	29	246	575	988	1240	1299	1241
Missouri	ELEC.GEN.WND-MO-99.A	ELEC.GEN.WND	Wind	--	--	--	--	203	499	925	1178	1245	1167
Missouri	ELEC.GEN.SUN-MO-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
Missouri	ELEC.GEN.GEO-MO-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
