Company	Revenue Type	Commodity	Revenue		
CALPINE CORP	ONRR/BLM - Rents	Geothermal	$6,047.00 		
CALPORTLAND CO	BLM - Permit Fees	Locatable Minerals	$168,507.00 		
CALYPSO EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	$341,836.07 		
CALYPSO EXPLORATION LLC	ONRR - Royalties	Gas	$39,242.39 		
CALYPSO EXPLORATION LLC	ONRR - Royalties	Oil	$3,374,303.05 		
CALYPSO EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	$39,578.00 		
CAM MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	$303,060.73 		
CAMBRIAN COAL CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	$116,040.28 		
CANTERA OPERATING LLC	ONRR - Other Revenues	Oil & Gas	($115,607.79)		
CANTERA OPERATING LLC	ONRR - Royalties	Gas	$672,989.78 		
CANTERA OPERATING LLC	ONRR - Royalties	Oil	$3,334.85 		
CANTIUM LLC	ONRR - Other Revenues	Oil & Gas	$353,332.80 		
CANTIUM LLC	ONRR - Royalties	Gas	$310,391.60 		
CANTIUM LLC	ONRR - Royalties	Oil	$11,924,843.27 		
CANTIUM LLC	ONRR/BLM - Rents	Oil & Gas	$9,411.00 		
CANYON FUEL CO LLC	BLM - Permit Fees	Coal	$148,529.00 		
CARBON CREEK ENERGY LLC	BLM - Permit Fees	Oil & Gas	$659.00 		
CARBON CREEK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	$62,460.60 		
CARBON CREEK ENERGY LLC	ONRR - Royalties	Gas	$19,876,152.12 		
CARBON CREEK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$18,612.00 		
CARLA PETROLEUM INC	BLM - Permit Fees	Oil & Gas	$5,440.00 		
CARLA PETROLEUM INC	ONRR/BLM - Bonus	Oil & Gas	$9,119,742.00 		
CARLA PETROLEUM INC	ONRR/BLM - Rents	Oil & Gas	$31,747.50 		
CARLIN TREND MINING SUPPLIES AND SERVICES	BLM - Permit Fees	Locatable Minerals	$199,705.00 		
CARLOW EXCHANGE PROPERTIES LLC	ONRR/BLM - Bonus	Oil & Gas	$10,678,500.00 		
CARLOW EXCHANGE PROPERTIES LLC	ONRR/BLM - Rents	Oil & Gas	$1,186.50 		
CARRIZO OIL & GAS INC	BLM - Permit Fees	Oil & Gas	$134,540.00 		
CARRIZO OIL & GAS INC	ONRR - Other Revenues	N/A	$436.00 		
CARRIZO OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	$10,828.52 		
CARRIZO OIL & GAS INC	ONRR - Royalties	Gas	$15,386.91 		
