Company	Revenue Type	Commodity	Revenue
CAM MINING LLC	OSMRE - AML Fees including Audits and Late Charges	Coal	$108,728
CAMBRIAN COAL CORP	OSMRE - AML Fees including Audits and Late Charges	Coal	$114,687
CAMECO RESOURCES	BLM - Permit Fees	Locatable Minerals	$494,615
CANTERA OPERATING LLC	ONRR - Other Revenues	Oil & Gas	-$105
CANTERA OPERATING LLC	ONRR - Royalties	Gas	$362,575
CANTERA OPERATING LLC	ONRR - Royalties	Oil	$435
CARBON CREEK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	-$1,064,843
CARBON CREEK ENERGY LLC	ONRR - Royalties	Gas	$18,370,456
CARBON CREEK ENERGY LLC	ONRR - Royalties	Other Commodities	$0
CARBON CREEK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	$66,552
CARLIN RESOURCES LLC	BLM - Permit Fees	Locatable Minerals	$218,085
CARLIN TREND MINING SUPPLIES AND SERVICES	BLM - Permit Fees	Locatable Minerals	$660,608
CARRIZO OIL & GAS INC	BLM - Permit Fees	Oil & Gas	$86,140
CARRIZO OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	$32,677
CARRIZO OIL & GAS INC	ONRR - Royalties	Gas	$19,902
CARRIZO OIL & GAS INC	ONRR - Royalties	Oil	$464,471
CARRIZO OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	$36,125
CASILLAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	$27
CASILLAS PETROLEUM CORP	ONRR - Royalties	Gas	$327,058
CASILLAS PETROLEUM CORP	ONRR - Royalties	Oil	$280,690
CASILLAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	$56
CASTEX OFFSHORE INC	ONRR - Civil Penalties	N/A	$395,000
CASTEX OFFSHORE INC	ONRR - Inspection Fees	Oil & Gas	$348,700
CASTEX OFFSHORE INC	ONRR - Other Revenues	N/A	$206
CASTEX OFFSHORE INC	ONRR - Other Revenues	Oil & Gas	$83,903
CASTEX OFFSHORE INC	ONRR - Royalties	Gas	$2,988,655
CASTEX OFFSHORE INC	ONRR - Royalties	Oil	$3,803,570
CASTEX OFFSHORE INC	ONRR/BLM - Bonus	Oil & Gas	$1,376,278
CASTEX OFFSHORE INC	ONRR/BLM - Rents	Oil & Gas	$929,470
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Other Revenues	Oil & Gas	$179,000
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Royalties	Gas	$1,821,751
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR - Royalties	Oil	$524,349
CASTLETON COMMODITIES INTERNATIONAL LLC	ONRR/BLM - Rents	Oil & Gas	$9,108
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	$55,339
CATAMOUNT ENERGY PARTNERS LLC	ONRR - Royalties	Gas	$100,847
CATAMOUNT ENERGY PARTNERS LLC	BLM - Permit Fees	Oil & Gas	$19,000
CEDAR LAKE MINING INC	OSMRE - AML Fees including Audits and Late Charges	Coal	$189,385
CEMEX	BLM - Permit Fees	Locatable Minerals	$101,370
CEMEX	BLM - Permit Fees	Mineral Materials	$405,372
CHACO ENERGY CO	ONRR - Other Revenues	Oil & Gas	$103
CHACO ENERGY CO	ONRR - Royalties	Gas	$42,986
CHACO ENERGY CO	ONRR - Royalties	Oil	$82,585
CHACO ENERGY CO	ONRR/BLM - Rents	Oil & Gas	$1,510
CHACO ENERGY CO	BLM - Permit Fees	Oil & Gas	$720
CHEMILY MANAGEMENT CO	ONRR - Other Revenues	Oil & Gas	$1,274
CHEMILY MANAGEMENT CO	ONRR - Royalties	Gas	$14,290
CHEMILY MANAGEMENT CO	ONRR - Royalties	Oil	$123,412
CHEMILY MANAGEMENT CO	BLM - Permit Fees	Oil & Gas	$280
CHESAPEAKE ENERGY CORP	ONRR - Other Revenues	N/A	$729
CHESAPEAKE ENERGY CORP	ONRR - Other Revenues	Oil & Gas	$220,832
CHESAPEAKE ENERGY CORP	ONRR - Royalties	Gas	$3,058,060
CHESAPEAKE ENERGY CORP	ONRR - Royalties	Oil	$5,706,793
CHESAPEAKE ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	$486,133
CHESAPEAKE EXPLORATION LLC	BLM - Permit Fees	Oil & Gas	$288,470
CHEVRON CORP	ONRR - Civil Penalties	N/A	$149,520
CHEVRON CORP	ONRR - Inspection Fees	Oil & Gas	$9,267,400
CHEVRON CORP	ONRR - Other Revenues	N/A	$1,722
CHEVRON CORP	ONRR - Other Revenues	Oil & Gas	-$2,463,480
CHEVRON CORP	ONRR - Royalties	Gas	$38,274,590
CHEVRON CORP	ONRR - Royalties	Oil	$205,606,755
CHEVRON CORP	ONRR - Royalties	Other Commodities	$186,309
CHEVRON CORP	ONRR/BLM - Bonus	Oil & Gas	$7,876,058
CHEVRON CORP	ONRR/BLM - Rents	Coal	$23,598
CHEVRON CORP	ONRR/BLM - Rents	Oil & Gas	$10,535,842
CHEVRON CORP	BLM - Permit Fees	Oil & Gas	$450,319
CHEYENNE RIVER LLC	ONRR - Other Revenues	Oil & Gas	$932
CHEYENNE RIVER LLC	ONRR - Royalties	Gas	$37,155
CHEYENNE RIVER LLC	ONRR - Royalties	Oil	$154,551
CHEYENNE RIVER LLC	ONRR/BLM - Rents	Oil & Gas	$103,181
CHEYENNE RIVER LLC	BLM - Permit Fees	Oil & Gas	$540
CHI	ONRR - Other Revenues	Oil & Gas	$2,787
CHI	ONRR - Royalties	Gas	$239,854
CHIPCORE LLC	ONRR - Royalties	Gas	$157,014
CHIPCORE LLC	ONRR - Royalties	Oil	$25,187
CHIPCORE LLC	BLM - Permit Fees	Oil & Gas	$5,340
CHUGACH ELECTRIC ASSOCIATION INC	BLM - Permit Fees	Oil & Gas	$180
