Year	State	County	FIPS	Commodity	Product	Volume
2010	CO	Gunnison County	08051		Coal (tons)	6770923.33
2007	CO	Moffat County	08081		Coal (tons)	7110106
2008	CO	Gunnison County	08051		Coal (tons)	7140447.73
2007	CO	Rio Blanco County	08103		Gas (mcf)	7164744
2011	CO	Gunnison County	08051		Coal (tons)	7245772.46
2006	CO	Mesa County	08077		Gas (mcf)	7257169.94
2005	CO	Moffat County	08081		Coal (tons)	7274125
2008	CO	Huerfano County	08055		Gas (mcf)	7361042.5
2006	CO	Rio Blanco County	08103		Gas (mcf)	7467935
2009	CO	Huerfano County	08055		Gas (mcf)	7564971.71
2007	CO	Huerfano County	08055		Gas (mcf)	7585442.23
2006	CO	Moffat County	08081		Coal (tons)	7799334
2006	CO	Gunnison County	08051		Coal (tons)	7856183.12
2005	CO	Gunnison County	08051		Coal (tons)	8063367.86
2007	CO	Gunnison County	08051		Coal (tons)	8089480.54
2012	CO	Gunnison County	08051		Coal (tons)	8123963.12
2009	CO	San Miguel County	08113		Gas (mcf)	8234371.26
2008	CO	Rio Blanco County	08103		Gas (mcf)	8627539.5
2006	CO	Huerfano County	08055		Gas (mcf)	8647717.04
2005	CO	Huerfano County	08055		Gas (mcf)	10119998.75
2009	CO	Rio Blanco County	08103		Gas (mcf)	10584653.5
2012	CO	Garfield County	08045		Gas (mcf)	10796966
2014	CO	La Plata County	08067		Gas (mcf)	11043975.8
2007	CO	San Miguel County	08113		Gas (mcf)	11152290.86
2013	CO	La Plata County	08067		Gas (mcf)	11216123.2
2012	CO	La Plata County	08067		Gas (mcf)	11399123.7
2011	CO	La Plata County	08067		Gas (mcf)	12418650.75
2014	CO	Moffat County	08081		Gas (mcf)	12673368.5
2008	CO	San Miguel County	08113		Gas (mcf)	12702972.08
2010	CO	Rio Blanco County	08103		Gas (mcf)	13212923.5
2008	CO	La Plata County	08067		Gas (mcf)	13237454.03
2007	CO	La Plata County	08067		Gas (mcf)	13340316.97
2007	CO	Moffat County	08081		Gas (mcf)	13895043.81
2010	CO	Mesa County	08077		Gas (mcf)	14027268.22
2005	CO	La Plata County	08067		Gas (mcf)	14090021.92
