Company	Revenue Type	Commodity	Revenue	
BLACK OAK ENERGY LLC	BLM - Permit Fees	Oil & Gas	33640	
BLACK OAK ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	13308237	
BLACK OAK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	123943.5	
BLACKBEARD OPERATING LLC	BLM - Permit Fees	Oil & Gas	320	
BLACKBEARD OPERATING LLC	ONRR - Other Revenues	Oil & Gas	276.38	
BLACKBEARD OPERATING LLC	ONRR - Royalties	Gas	4511.05	
BLACKBEARD OPERATING LLC	ONRR - Royalties	Oil	2992.56	
BLACKBEARD OPERATING LLC	ONRR/BLM - Bonus	Oil & Gas	1147760	
BLACKBEARD OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	2943	
BLACKJEWEL LLC	BLM - Permit Fees	Coal	520	
BLACKJEWEL LLC	BLM - Permit Fees	Mineral Materials	66767.99	
BLACKJEWEL LLC	ONRR - Royalties	Coal	24890080.53	
BLACKJEWEL LLC	ONRR/BLM - Rents	Coal	38796	
BLACKJEWEL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	5176203.15	
BLANCO CO	ONRR/BLM - Rents	Oil & Gas	122496	
BLUE CREEK MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	153094.23	
BLUE DEVIL EXPLORATION LLC	BLM - Permit Fees	Oil & Gas	160	
BLUE DEVIL EXPLORATION LLC	ONRR/BLM - Bonus	Oil & Gas	39370909	
BLUE DEVIL EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	901.5	
BLUE DIAMOND MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	156440.41	
BLUE MOUNTAIN ENERGY INC	ONRR - Royalties	Coal	1087070.78	
BLUE MOUNTAIN ENERGY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	208673.28	
BLUESTONE NATURAL RESOURCES II LLC	ONRR - Other Revenues	Oil & Gas	18845	
BLUESTONE NATURAL RESOURCES II LLC	ONRR - Royalties	Gas	209074.44	
BLUESTONE NATURAL RESOURCES II LLC	ONRR/BLM - Rents	Oil & Gas	3340	
BNI COAL LTD	ONRR - Royalties	Coal	207117.06	
BNI COAL LTD	ONRR/BLM - Rents	Coal	4683	
BNI COAL LTD	OSMRE - AML Fees including Audits and Late Charges 	Coal	369894.1	
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Other Revenues	Oil & Gas	362616.26	
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Gas	728039.29	
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR - Royalties	Oil	3679376.9	
BONANZA CREEK ENERGY OPERATING COMPANY LLC	ONRR/BLM - Rents	Oil & Gas	26650.35	
BOND ENERGY LLC	ONRR - Other Revenues	Oil & Gas	216768.53	
BOND ENERGY LLC	ONRR - Royalties	Gas	204089.92	
BOWIE RESOURCES LLC	ONRR - Other Revenues	Coal	4503.65	
BOWIE RESOURCES LLC	ONRR - Royalties	Coal	20939390.52	
BOWIE RESOURCES LLC	ONRR/BLM - Bonus	Coal	8041258.08	
BOWIE RESOURCES LLC	ONRR/BLM - Rents	Coal	162120	
BP AMERICA INC	BLM - Permit Fees	Mineral Materials	12000	
BP AMERICA INC	BLM - Permit Fees	Oil & Gas	185178	
BP AMERICA INC	ONRR - Inspection Fees	Oil & Gas	1956000	
BP AMERICA INC	ONRR - Other Revenues	N/A	972.58	
BP AMERICA INC	ONRR - Other Revenues	Oil & Gas	5238724.02	
BP AMERICA INC	ONRR - Royalties	Gas	74587964.49	
BP AMERICA INC	ONRR - Royalties	Oil	760130076.49	
BP AMERICA INC	ONRR/BLM - Bonus	Oil & Gas	28140830	
BP AMERICA INC	ONRR/BLM - Rents	Oil & Gas	7579582.25	
BRAVO ARKOMA LLC	BLM - Permit Fees	Oil & Gas	40200	
BRAVO ARKOMA LLC	ONRR - Other Revenues	Oil & Gas	2846.06	
BRAVO ARKOMA LLC	ONRR - Royalties	Gas	686088.26	
BRAVO ARKOMA LLC	ONRR - Royalties	Oil	9799.77	
BRAVO ARKOMA LLC	ONRR/BLM - Rents	Oil & Gas	1862	
BRAZOS LP	ONRR - Other Revenues	Oil & Gas	220.11	
BRAZOS LP	ONRR - Royalties	Gas	83798.04	
BRAZOS LP	ONRR - Royalties	Oil	121396.17	
BRAZOS LP	ONRR/BLM - Rents	Oil & Gas	800	
BRIDGER COAL CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	817211.42	
BRO ENERGY LLC	BLM - Permit Fees	Oil & Gas	3060	
BRO ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	494637	
BRO ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	19629	
BRONCO CREEK EXPLORATION INC	BLM - Permit Fees	Locatable Minerals	306424	
BROOKSIDE ENERGY LTD	ONRR/BLM - Rents	Oil & Gas	545140	
BROWNSTONE VENTURES	BLM - Permit Fees	Locatable Minerals	235577	
BROWNSTONE VENTURES (US) INC.	BLM - Permit Fees	Locatable Minerals	357955	
BRUIN E&P PARTNERS LLC	BLM - Permit Fees	Oil & Gas	249530	
BRUIN E&P PARTNERS LLC	ONRR - Other Revenues	N/A	972	
BRUIN E&P PARTNERS LLC	ONRR - Other Revenues	Oil & Gas	139.27	
BRUIN E&P PARTNERS LLC	ONRR - Royalties	Gas	85376.05	
BRUIN E&P PARTNERS LLC	ONRR - Royalties	Oil	896715.74	
BRYANT RESOURCES INC	ONRR - Other Revenues	Oil & Gas	83.07	
BRYANT RESOURCES INC	ONRR - Royalties	Gas	665028.92	
BSO-GRB LLC	ONRR/BLM - Bonus	Oil & Gas	957697	
BSO-GRB LLC	ONRR/BLM - Rents	Oil & Gas	12847.5	
BTA OIL PRODUCERS LLC	BLM - Permit Fees	Oil & Gas	438835	
BTA OIL PRODUCERS LLC	ONRR - Other Revenues	Oil & Gas	12118.17	
BTA OIL PRODUCERS LLC	ONRR - Royalties	Gas	3356811.42	
BTA OIL PRODUCERS LLC	ONRR - Royalties	Oil	14782889.23	
BTA OIL PRODUCERS LLC	ONRR/BLM - Bonus	Oil & Gas	3112	
BTA OIL PRODUCERS LLC	ONRR/BLM - Rents	Oil & Gas	31029.5	
BUCHANAN MINERALS LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	562064.47	
BUCKINGHAM COAL CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	104637.19	
BUCKSKIN MINING CO	OSMRE - AML Fees including Audits and Late Charges 	Coal	3588974.88	
BUFFALO CREEK ENERGY LLC	BLM - Permit Fees	Oil & Gas	160	
BUFFALO CREEK ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	120080	
BUFFALO CREEK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	120	
BULLSEYE CONSTRUCTION LLC	BLM - Permit Fees	Mineral Materials	149452.5	
BURNETT OIL COMPANY INC	BLM - Permit Fees	Oil & Gas	125135	
BURNETT OIL COMPANY INC	ONRR - Other Revenues	Oil & Gas	-106156.15	
BURNETT OIL COMPANY INC	ONRR - Royalties	Gas	2815905.48	
BURNETT OIL COMPANY INC	ONRR - Royalties	Oil	8189563.35	
BXP OPERATING	ONRR - Other Revenues	Oil & Gas	9151.68	
BXP OPERATING	ONRR - Royalties	Gas	45492.96	
BXP OPERATING	ONRR - Royalties	Oil	677316.09	
BXP OPERATING	ONRR/BLM - Rents	Oil & Gas	930	
BYRON ENERGY INC	ONRR - Inspection Fees	Oil & Gas	66800	
BYRON ENERGY INC	ONRR - Other Revenues	Oil & Gas	432.9	
BYRON ENERGY INC	ONRR - Royalties	Gas	336091.16	
BYRON ENERGY INC	ONRR - Royalties	Oil	5419921.78	
BYRON ENERGY INC	ONRR/BLM - Bonus	Oil & Gas	3016675	
BYRON ENERGY INC	ONRR/BLM - Rents	Oil & Gas	486906	
C & J GRAVEL PRODUCTS INC	BLM - Permit Fees	Mineral Materials	322831.03	
