Company	Revenue Type	Commodity	Revenue	
HERITAGE COAL & NATURAL RESOURCES LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	104922.39	
HESS CORP	BLM - Permit Fees	Oil & Gas	413640	
HESS CORP	ONRR - Inspection Fees	Oil & Gas	1041500	
HESS CORP	ONRR - Other Revenues	N/A	1408	
HESS CORP	ONRR - Other Revenues	Oil & Gas	807022.02	
HESS CORP	ONRR - Royalties	Gas	13823065.98	
HESS CORP	ONRR - Royalties	Oil	147233518.73	
HESS CORP	ONRR/BLM - Bonus	Oil & Gas	44272592	
HESS CORP	ONRR/BLM - Rents	Oil & Gas	3460517.37	
HIGH BAR MINING LLC	BLM - Permit Fees	Locatable Minerals	134970	
HIGH MESA HOLDINGS LP	ONRR - Other Revenues	Oil & Gas	78105.08	
HIGH MESA HOLDINGS LP	ONRR - Royalties	Gas	96072.12	
HIGH MESA HOLDINGS LP	ONRR - Royalties	Oil	15189.82	
HIGH WEST RESOURCES LTD	BLM - Permit Fees	Oil & Gas	320	
HIGH WEST RESOURCES LTD	ONRR/BLM - Bonus	Oil & Gas	648080	
HIGH WEST RESOURCES LTD	ONRR/BLM - Rents	Oil & Gas	120	
HIGHLAND MINING CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	155077.62	
HIGHLANDS MONTANA CORPORATION	ONRR/BLM - Rents	Oil & Gas	171786	
HIGHPOINT RESOURCES CORP	ONRR - Other Revenues	Oil & Gas	-280808.82	
HIGHPOINT RESOURCES CORP	ONRR - Royalties	Gas	212160.46	
HIGHPOINT RESOURCES CORP	ONRR - Royalties	Oil	1308119.69	
HIGHPOINT RESOURCES CORP	ONRR/BLM - Rents	Oil & Gas	40400.5	
HILCORP ENERGY CO	BLM - Permit Fees	Mineral Materials	41016	
HILCORP ENERGY CO	BLM - Permit Fees	Oil & Gas	278755	
HILCORP ENERGY CO	ONRR - Other Revenues	N/A	3542	
HILCORP ENERGY CO	ONRR - Other Revenues	Oil & Gas	842523.35	
HILCORP ENERGY CO	ONRR - Royalties	Gas	94910397.3	
HILCORP ENERGY CO	ONRR - Royalties	Oil	15173747.32	
HILCORP ENERGY CO	ONRR - Royalties	Other Commodities	170252.3	
HILCORP ENERGY CO	ONRR/BLM - Bonus	Oil & Gas	11200	
HILCORP ENERGY CO	ONRR/BLM - Rents	Oil & Gas	533417.83	
HOCKER AND SONS LLC	BLM - Permit Fees	Mineral Materials	166890	
HOGBACK EXPLORATION INC	ONRR - Other Revenues	Oil & Gas	273.36	
HOGBACK EXPLORATION INC	ONRR - Royalties	Gas	122958.33	
HOLLYFRONTIER CORP	ONRR - Other Revenues	Oil & Gas	110	
HOLLYFRONTIER CORP	ONRR - Royalties	Oil	3931445.92	
HOLMES WESTERN OIL CORP	ONRR - Other Revenues	Oil & Gas	13130	
HOLMES WESTERN OIL CORP	ONRR - Royalties	Gas	27724.31	
HOLMES WESTERN OIL CORP	ONRR - Royalties	Oil	2776643.65	
HOOVER & STACY INC	ONRR/BLM - Bonus	Oil & Gas	566209	
HOOVER & STACY INC	ONRR/BLM - Rents	Oil & Gas	25834.5	
HOUSTON ENERGY DEEPWATER VENTURES I LLC	ONRR - Other Revenues	Oil & Gas	488474.35	
HOUSTON ENERGY DEEPWATER VENTURES I LLC	ONRR - Royalties	Oil	3628171.71	
HOUSTON ENERGY DEEPWATER VENTURES I LLC	ONRR/BLM - Bonus	Oil & Gas	2195899	
HOUSTON ENERGY DEEPWATER VENTURES I LLC	ONRR/BLM - Rents	Oil & Gas	1062040	
HRM RESOURCES III LLC	BLM - Permit Fees	Oil & Gas	45940	
HRM RESOURCES III LLC	ONRR - Other Revenues	Oil & Gas	11615.91	
HRM RESOURCES III LLC	ONRR - Royalties	Gas	447861.92	
HRM RESOURCES III LLC	ONRR - Royalties	Oil	29524	
HRM RESOURCES III LLC	ONRR/BLM - Bonus	Oil & Gas	2059697	
HRM RESOURCES III LLC	ONRR/BLM - Rents	Oil & Gas	50504.5	
HUNT CONSOLIDATED INC	BLM - Permit Fees	Oil & Gas	39730	
HUNT CONSOLIDATED INC	ONRR - Other Revenues	Oil & Gas	397.77	
HUNT CONSOLIDATED INC	ONRR - Royalties	Gas	6384.36	
HUNT CONSOLIDATED INC	ONRR - Royalties	Oil	7945493.03	
HUNT CONSOLIDATED INC	ONRR/BLM - Rents	Oil & Gas	1169	
HUNTINGTON ENERGY LLC	ONRR - Other Revenues	Oil & Gas	126003.56	
HUNTINGTON ENERGY LLC	ONRR - Royalties	Gas	1557964.95	
HUNTINGTON ENERGY LLC	ONRR - Royalties	Oil	568877.47	
HUNTINGTON ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	3392	
HYCROFT RESOURCES & DEVELOPMENT INC	BLM - Permit Fees	Locatable Minerals	516615	
HYPERION OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	124.11	
HYPERION OIL & GAS LLC	ONRR - Royalties	Gas	251793.48	
HYPERION OIL & GAS LLC	ONRR - Royalties	Oil	458683.49	
ICG BECKLEY LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	107415.64	
ICG ILLINOIS LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	195603.3	
ICG TYGART VALLEY LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	374242.49	
IDAHO CHAMPION GOLD MINES LLC	BLM - Permit Fees	Locatable Minerals	104668	
IDAHO GOLD RESOURCES CO LLC	BLM - Permit Fees	Locatable Minerals	234050	
ILX HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	1492817.91	
ILX HOLDINGS LLC	ONRR - Royalties	Gas	924674.68	
ILX HOLDINGS LLC	ONRR - Royalties	Oil	19906287.51	
IMPACT EXPLORATION AND PRODUCTION LLC	ONRR - Other Revenues	Oil & Gas	698.25	
IMPACT EXPLORATION AND PRODUCTION LLC	ONRR - Royalties	Gas	100685.26	
IMPACT EXPLORATION AND PRODUCTION LLC	ONRR - Royalties	Oil	748857.63	
IMPACT EXPLORATION AND PRODUCTION LLC	ONRR/BLM - Bonus	Oil & Gas	1114631	
IMPACT EXPLORATION AND PRODUCTION LLC	ONRR/BLM - Rents	Oil & Gas	18120	
INPEX CORP	ONRR - Other Revenues	Oil & Gas	-35254.24	
INPEX CORP	ONRR - Royalties	Gas	58546.07	
INPEX CORP	ONRR - Royalties	Oil	2714296.67	
INTEGRA HOLDINGS US INC	BLM - Permit Fees	Locatable Minerals	163793	
INTERMONT EXPLORATION LLC	BLM - Permit Fees	Locatable Minerals	198842	
INTREPID POTASH INC	BLM - Permit Fees	Mineral Materials	71542.5	
INTREPID POTASH INC	ONRR - Other Revenues	Phosphate	466486.1	
INTREPID POTASH INC	ONRR - Royalties	Other Commodities	4249123	
INTREPID POTASH INC	ONRR/BLM - Rents	Phosphate	112215.4	
INTREPID PRODUCTION CORP	BLM - Permit Fees	Oil & Gas	1920	
INTREPID PRODUCTION CORP	ONRR/BLM - Bonus	Oil & Gas	389180	
INTREPID PRODUCTION CORP	ONRR/BLM - Rents	Oil & Gas	29397	
IRELAND INC	BLM - Permit Fees	Locatable Minerals	135698	
IRON OIL OPERATING LLC	BLM - Permit Fees	Oil & Gas	19580	
IRON OIL OPERATING LLC	ONRR - Other Revenues	Oil & Gas	103.25	
IRON OIL OPERATING LLC	ONRR - Royalties	Gas	14054.23	
IRON OIL OPERATING LLC	ONRR - Royalties	Oil	127680.33	
J.R. SIMPLOT CO	ONRR - Other Revenues	Phosphate	39252	
J.R. SIMPLOT CO	ONRR - Royalties	Other Commodities	3641343.52	
J.R. SIMPLOT CO	ONRR/BLM - Rents	Phosphate	1525	
JEFF N FAILLERS PC	BLM - Permit Fees	Locatable Minerals	357895	
JEFFERSON ENERGY TRADING LLC	ONRR - Other Revenues	N/A	243	
JEFFERSON ENERGY TRADING LLC	ONRR - Other Revenues	Oil & Gas	3765.09	
JEFFERSON ENERGY TRADING LLC	ONRR - Royalties	Gas	506966.88	
JEFFERSON ENERGY TRADING LLC	ONRR - Royalties	Oil	1289135.63	
JERRITT CANYON GOLD LLC	BLM - Permit Fees	Locatable Minerals	494140	
JMA ENERGY COMPANY LLC	ONRR - Other Revenues	Oil & Gas	-12761.89	
JMA ENERGY COMPANY LLC	ONRR - Royalties	Gas	144849.26	
JMA ENERGY COMPANY LLC	ONRR - Royalties	Oil	268002.73	
JMP COAL HOLDINGS LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	181946.74	
JOHN H. HENDRIX CORP	ONRR - Other Revenues	Oil & Gas	212.82	
JOHN H. HENDRIX CORP	ONRR - Royalties	Gas	255408.74	
JONAH ENERGY LLC	BLM - Permit Fees	Oil & Gas	923825	
JONAH ENERGY LLC	ONRR - Other Revenues	Oil & Gas	2468506.28	
JONAH ENERGY LLC	ONRR - Royalties	Gas	60507876.46	
JONAH ENERGY LLC	ONRR - Royalties	Oil	15251888.26	
JONAH ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	123830	
JP OIL HOLDINGS LLC	ONRR - Other Revenues	Oil & Gas	159	
JP OIL HOLDINGS LLC	ONRR - Royalties	Oil	160852.87	
JP OIL HOLDINGS LLC	ONRR/BLM - Rents	Oil & Gas	520	
JRL COAL INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	235198.87	
JUNIPER RESOURCES EXPLORATION CO LLC	BLM - Permit Fees	Oil & Gas	10730	
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR - Other Revenues	Oil & Gas	14735	
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR - Royalties	Gas	89136.56	
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR - Royalties	Oil	94783.61	
JUNIPER RESOURCES EXPLORATION CO LLC	ONRR/BLM - Rents	Oil & Gas	4098	
JUPITER ENERGY GROUP	ONRR - Other Revenues	Oil & Gas	175.37	
JUPITER ENERGY GROUP	ONRR - Royalties	Oil	139645.31	
JXTG HOLDINGS	ONRR - Other Revenues	Oil & Gas	-339154.29	
JXTG HOLDINGS	ONRR - Royalties	Gas	136364.71	
JXTG HOLDINGS	ONRR - Royalties	Oil	5073901.71	
KAISER-FRANCIS OIL CO	BLM - Permit Fees	Oil & Gas	266210	
KALAMAZOO MATERIALS INC	BLM - Permit Fees	Locatable Minerals	160	
KALAMAZOO MATERIALS INC	BLM - Permit Fees	Mineral Materials	102358.73	
KENAMERICAN RESOURCES INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	154547.89	
KENNECOTT	BLM - Permit Fees	Locatable Minerals	1621756	
KGH OPERATING CO	ONRR - Royalties	Gas	109934.14	
KGH OPERATING CO	ONRR - Royalties	Oil	20257.68	
KILAUEA CRUSHERS INC	BLM - Permit Fees	Mineral Materials	449288.44	
KILGORE COMPANIES	BLM - Permit Fees	Mineral Materials	146714.11	
KIMBELL OIL CO	BLM - Permit Fees	Oil & Gas	250	
KIMBELL OIL CO	ONRR - Royalties	Gas	116710.99	
KIMBELL OIL CO	ONRR - Royalties	Oil	2402.14	
KINDER MORGAN ENERGY PARTNERS LP	ONRR - Other Revenues	Oil & Gas	392217.74	
KINDER MORGAN ENERGY PARTNERS LP	ONRR - Royalties	Other Commodities	28660246.73	
KINDER MORGAN ENERGY PARTNERS LP	ONRR/BLM - Rents	Oil & Gas	10113	
KINETIC GOLD (US) INC	BLM - Permit Fees	Locatable Minerals	120707	
KINGS PEAK ENERGY LLC	BLM - Permit Fees	Oil & Gas	600000	
KINGS PEAK ENERGY LLC	ONRR - Other Revenues	Oil & Gas	3469.04	
KINGS PEAK ENERGY LLC	ONRR - Royalties	Gas	62986.46	
KINGS PEAK ENERGY LLC	ONRR - Royalties	Oil	1303116.42	
KINGS PEAK ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	21287.5	
KINROSS GOLD CORP	BLM - Permit Fees	Locatable Minerals	1751143	
KINROSS GOLD CORP	BLM - Permit Fees	Mineral Materials	38777.47	
KIRKWOOD COMPANIES	BLM - Permit Fees	Locatable Minerals	175	
KIRKWOOD COMPANIES	BLM - Permit Fees	Oil & Gas	20448	
KIRKWOOD COMPANIES	ONRR - Other Revenues	N/A	1601	
KIRKWOOD COMPANIES	ONRR - Other Revenues	Oil & Gas	25439.33	
KIRKWOOD COMPANIES	ONRR - Royalties	Gas	314393.77	
KIRKWOOD COMPANIES	ONRR - Royalties	Oil	2751468.81	
KIRKWOOD COMPANIES	ONRR/BLM - Bonus	Oil & Gas	1029067	
KIRKWOOD COMPANIES	ONRR/BLM - Rents	Oil & Gas	528925.25	
KLONDEX MINES LTD	BLM - Permit Fees	Locatable Minerals	753111	
KNIGHT HAWK COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	684113	
KOCH INDUSTRIES INC	BLM - Permit Fees	Oil & Gas	95	
KOCH INDUSTRIES INC	ONRR - Other Revenues	Oil & Gas	-37526.84	
KOCH INDUSTRIES INC	ONRR - Royalties	Gas	432727.52	
KOCH INDUSTRIES INC	ONRR - Royalties	Oil	-58178.25	
KOCH INDUSTRIES INC	ONRR/BLM - Rents	Oil & Gas	15582.03	
KORE MINING LTD	BLM - Permit Fees	Locatable Minerals	116405	
KOREA NATIONAL OIL CORP	ONRR - Civil Penalties	N/A	38100	
KOREA NATIONAL OIL CORP	ONRR - Inspection Fees	Oil & Gas	521900	
KOREA NATIONAL OIL CORP	ONRR - Other Revenues	Oil & Gas	219946.59	
KOREA NATIONAL OIL CORP	ONRR - Royalties	Gas	3727639.55	
KOREA NATIONAL OIL CORP	ONRR - Royalties	Oil	25595385.38	
KOREA NATIONAL OIL CORP	ONRR/BLM - Rents	Oil & Gas	1335	
KOSMOS ENERGY LTD	ONRR - Inspection Fees	Oil & Gas	335500	
KOSMOS ENERGY LTD	ONRR - Other Revenues	Oil & Gas	4137051.74	
KOSMOS ENERGY LTD	ONRR - Royalties	Gas	1941682.1	
KOSMOS ENERGY LTD	ONRR - Royalties	Oil	62441990.87	
KOSMOS ENERGY LTD	ONRR/BLM - Bonus	Oil & Gas	6032852	
KOSMOS ENERGY LTD	ONRR/BLM - Rents	Oil & Gas	923428	
KP KAUFFMAN COMPANY INC	ONRR - Other Revenues	Oil & Gas	5624.5	
KP KAUFFMAN COMPANY INC	ONRR - Royalties	Gas	952.74	
KP KAUFFMAN COMPANY INC	ONRR - Royalties	Oil	245664.46	
KP KAUFFMAN COMPANY INC	ONRR/BLM - Rents	Oil & Gas	286.5	
KRAKEN OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	59120	
KRAKEN OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	5613.22	
KRAKEN OIL & GAS LLC	ONRR - Royalties	Gas	37630.74	
KRAKEN OIL & GAS LLC	ONRR - Royalties	Oil	830649.07	
KRAKEN OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	18840	
KRAKEN OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	19822.5	
LANDMARK ENERGY LLC	ONRR - Royalties	Gas	122574.79	
LANE LASRICH	ONRR/BLM - Bonus	Oil & Gas	119040	
LANE LASRICH	ONRR/BLM - Rents	Oil & Gas	20884	
LARAMIE ENERGY II LLC	BLM - Permit Fees	Oil & Gas	95165	
LARAMIE ENERGY II LLC	ONRR - Other Revenues	Oil & Gas	285961	
LARAMIE ENERGY II LLC	ONRR - Royalties	Gas	6395161.84	
LARAMIE ENERGY II LLC	ONRR - Royalties	Oil	562987.19	
LARAMIE ENERGY II LLC	ONRR/BLM - Rents	Oil & Gas	66322	
LARRY R MOYER EXPLORATION LLC	BLM - Permit Fees	Locatable Minerals	13144	
LARRY R MOYER EXPLORATION LLC	BLM - Permit Fees	Oil & Gas	13540	
LARRY R MOYER EXPLORATION LLC	ONRR/BLM - Bonus	Oil & Gas	99490	
LARRY R MOYER EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	461281.5	
LAS VEGAS PAVING CORP	BLM - Permit Fees	Mineral Materials	553700.61	
LCME HOLDINGS INC	BLM - Permit Fees	Locatable Minerals	119983	
LEGACY RESERVES OPERATING LP	BLM - Permit Fees	Oil & Gas	171725	
LEGACY RESERVES OPERATING LP	ONRR - Other Revenues	N/A	926.06	
LEGACY RESERVES OPERATING LP	ONRR - Other Revenues	Oil & Gas	2439582.36	
LEGACY RESERVES OPERATING LP	ONRR - Royalties	Gas	2758203.47	
LEGACY RESERVES OPERATING LP	ONRR - Royalties	Oil	23745649.83	
LEGACY RESERVES OPERATING LP	ONRR/BLM - Rents	Oil & Gas	2725.75	
LEHIGH ANTHRACITE COAL LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	106752.46	
LEONARDITE PRODUCTS LLC	BLM - Permit Fees	Coal	9781	
LEONARDITE PRODUCTS LLC	ONRR - Royalties	Coal	132816.67	
LEONARDITE PRODUCTS LLC	ONRR/BLM - Rents	Coal	480	
LEXINGTON COAL CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	193382.08	
LHOIST NORTH AMERICA INC	BLM - Permit Fees	Locatable Minerals	179180	
LHOIST NORTH AMERICA INC	ONRR - Other Revenues	Hardrock	1065	
LHOIST NORTH AMERICA INC	ONRR - Royalties	Other Commodities	8282.39	
LHOIST NORTH AMERICA INC	ONRR/BLM - Rents	Hardrock	355	
LIBERTY MINE LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	416551.67	
LIBERTY PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	30875	
LIBERTY PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	35.47	
LIBERTY PETROLEUM CORP	ONRR/BLM - Bonus	Oil & Gas	659533	
LIBERTY PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	408583	
LIME ROCK RESOURCES	BLM - Permit Fees	Oil & Gas	15290	
LIME ROCK RESOURCES	ONRR - Other Revenues	Oil & Gas	20258.66	
LIME ROCK RESOURCES	ONRR - Royalties	Gas	2709895.19	
LIME ROCK RESOURCES	ONRR - Royalties	Oil	5671083.04	
LIME ROCK RESOURCES	ONRR/BLM - Rents	Oil & Gas	22442	
LINDE PLC	ONRR - Other Revenues	Oil & Gas	552.84	
LINDE PLC	ONRR - Royalties	Gas	383	
LINDE PLC	ONRR - Royalties	Other Commodities	406911	
LITHIUM AMERICAS CORP	BLM - Permit Fees	Locatable Minerals	534438	
LITHIUM ORE CORP	BLM - Permit Fees	Locatable Minerals	176600	
LLOG EXPLORATION COMPANY LLC	ONRR - Inspection Fees	Oil & Gas	540000	
LLOG EXPLORATION COMPANY LLC	ONRR - Other Revenues	Oil & Gas	2459587.55	
LLOG EXPLORATION COMPANY LLC	ONRR - Royalties	Gas	27435554.45	
LLOG EXPLORATION COMPANY LLC	ONRR - Royalties	Oil	196644407.25	
LLOG EXPLORATION COMPANY LLC	ONRR/BLM - Bonus	Oil & Gas	6853553	
LLOG EXPLORATION COMPANY LLC	ONRR/BLM - Rents	Oil & Gas	5592975	
LOCIN OIL CORP	ONRR - Royalties	Gas	155377.91	
LOCIN OIL CORP	ONRR - Royalties	Oil	16410.77	
LOCIN OIL CORP	ONRR/BLM - Rents	Oil & Gas	4806	
LOGOS RESOURCES II LLC	ONRR - Other Revenues	Oil & Gas	935082.98	
LOGOS RESOURCES II LLC	ONRR - Royalties	Gas	4323012.85	
LOGOS RESOURCES II LLC	ONRR - Royalties	Oil	3732728.4	
LOGOS RESOURCES II LLC	ONRR/BLM - Rents	Oil & Gas	17201.5	
LOIL OIL LLC	BLM - Permit Fees	Oil & Gas	2330	
LOIL OIL LLC	ONRR - Other Revenues	Oil & Gas	5200	
LOIL OIL LLC	ONRR - Royalties	Gas	1854.01	
LOIL OIL LLC	ONRR - Royalties	Oil	100460	
LONE MOUNTAIN PRODUCTION CO	BLM - Permit Fees	Oil & Gas	3420	
LONE MOUNTAIN PRODUCTION CO	ONRR - Other Revenues	Oil & Gas	561.98	
LONE MOUNTAIN PRODUCTION CO	ONRR - Royalties	Gas	174314.79	
LONE MOUNTAIN PRODUCTION CO	ONRR - Royalties	Oil	2572.07	
LONESOME OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	2280	
LONESOME OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	5171550	
LONESOME OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	13849.5	
LONGFELLOW ENERGY LP	ONRR - Royalties	Gas	64471.48	
LONGFELLOW ENERGY LP	ONRR - Royalties	Oil	133093.58	
LONGS PEAK RESOURCES LLC	BLM - Permit Fees	Oil & Gas	350	
LONGS PEAK RESOURCES LLC	ONRR - Royalties	Oil	5955.68	
LONGS PEAK RESOURCES LLC	ONRR/BLM - Bonus	Oil & Gas	412064	
LONGS PEAK RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	39091.5	
LORDSBURG RESOURCES INC	BLM - Permit Fees	Locatable Minerals	130285	
LUMA MINERALS LLC	BLM - Permit Fees	Oil & Gas	42000	
LUMA MINERALS LLC	ONRR - Other Revenues	Phosphate	66054	
LUMINANT MINING CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	1375825.96	
LUNDIN PETROLUEM	ONRR - Other Revenues	Oil & Gas	98000	
LUNDIN PETROLUEM	ONRR - Royalties	Gas	5936.78	
LUNDIN PETROLUEM	ONRR - Royalties	Oil	55985.63	
M & K OIL CO	BLM - Permit Fees	Oil & Gas	11265	
M & K OIL CO	ONRR - Other Revenues	Oil & Gas	5008.53	
M & K OIL CO	ONRR - Royalties	Gas	83024.99	
M & K OIL CO	ONRR/BLM - Rents	Oil & Gas	10518.5	
M&G DRILLING CO INC	ONRR - Other Revenues	Oil & Gas	-3965	
M&G DRILLING CO INC	ONRR - Royalties	Gas	438349.33	
M&G DRILLING CO INC	ONRR - Royalties	Oil	2734.27	
MACK ENERGY CORP	BLM - Permit Fees	Locatable Minerals	155	
MACK ENERGY CORP	BLM - Permit Fees	Oil & Gas	202340	
MACK ENERGY CORP	ONRR - Other Revenues	Oil & Gas	20220.23	
MACK ENERGY CORP	ONRR - Royalties	Gas	544851.11	
MACK ENERGY CORP	ONRR - Royalties	Oil	3164378.31	
MACK ENERGY CORP	ONRR/BLM - Bonus	Oil & Gas	7888914	
MACK ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	62726.5	
MACOUPIN ENERGY LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	244499.51	
MACPHERSON ENERGY CORP	ONRR - Other Revenues	Oil & Gas	160	
MACPHERSON ENERGY CORP	ONRR - Royalties	Oil	5202562	
MACPHERSON ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	2229	
MAGNUM HUNTER RESOURCES CORP	ONRR - Other Revenues	Oil & Gas	111.25	
MAGNUM HUNTER RESOURCES CORP	ONRR/BLM - Bonus	Oil & Gas	953806	
MAGNUM HUNTER RESOURCES CORP	ONRR/BLM - Rents	Oil & Gas	649.5	
MAGNUM PRODUCING LP	BLM - Permit Fees	Oil & Gas	6425	
MAGNUM PRODUCING LP	ONRR/BLM - Bonus	Oil & Gas	930465	
MAGNUM PRODUCING LP	ONRR/BLM - Rents	Oil & Gas	212318.5	
MAKOIL INC	ONRR - Civil Penalties	N/A	3580	
MAKOIL INC	ONRR - Other Revenues	Oil & Gas	15705.7	
MAKOIL INC	ONRR - Royalties	Oil	917029.46	
MAKOIL INC	ONRR/BLM - Rents	Oil & Gas	20948.5	
MALLARD EXPLORATION LLC	ONRR - Other Revenues	Oil & Gas	836.08	
MALLARD EXPLORATION LLC	ONRR - Royalties	Gas	121262.69	
MALLARD EXPLORATION LLC	ONRR - Royalties	Oil	2030256.58	
MALLARD EXPLORATION LLC	ONRR/BLM - Rents	Oil & Gas	3072	
MARALEX RESOURCES INC	ONRR - Other Revenues	N/A	243	
MARALEX RESOURCES INC	ONRR - Other Revenues	Oil & Gas	63196.34	
MARALEX RESOURCES INC	ONRR - Royalties	Gas	92551.1	
MARALEX RESOURCES INC	ONRR - Royalties	Oil	5385.7	
MARALEX RESOURCES INC	ONRR/BLM - Rents	Oil & Gas	18710	
MARATHON OIL CORP	BLM - Permit Fees	Oil & Gas	1823290	
MARATHON OIL CORP	ONRR - Other Revenues	N/A	1894	
MARATHON OIL CORP	ONRR - Other Revenues	Oil & Gas	108991.46	
MARATHON OIL CORP	ONRR - Royalties	Gas	1530322.71	
MARATHON OIL CORP	ONRR - Royalties	Oil	38368307.3	
MARATHON OIL CORP	ONRR/BLM - Rents	Oil & Gas	25992.5	
MARATHON PETROLEUM CORP	ONRR/BLM - Bonus	Oil & Gas	103433880	
MARATHON PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	2700	
MARFORK COAL CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	255603.87	
MARIGOLD MINING CO	BLM - Permit Fees	Locatable Minerals	128340	
MARQUIS RESOURCES INC	ONRR - Other Revenues	Oil & Gas	916.16	
MARQUIS RESOURCES INC	ONRR - Royalties	Gas	235664.49	
MARQUIS RESOURCES INC	ONRR - Royalties	Oil	162998.6	
MARTIN MARIETTA MATERIALS	BLM - Permit Fees	Locatable Minerals	14235	
MARTIN MARIETTA MATERIALS	BLM - Permit Fees	Mineral Materials	1334802.78	
MARUBENI CORP	ONRR - Inspection Fees	Oil & Gas	91500	
MARUBENI CORP	ONRR - Other Revenues	Oil & Gas	-68431.77	
MARUBENI CORP	ONRR - Royalties	Gas	1501051.98	
MARUBENI CORP	ONRR - Royalties	Oil	23972901.81	
MARUBENI CORP	ONRR/BLM - Rents	Oil & Gas	1050	
MASON RESOURCES INC	BLM - Permit Fees	Locatable Minerals	149110	
MASSIF OIL & GAS	ONRR - Other Revenues	Oil & Gas	223.63	
MASSIF OIL & GAS	ONRR - Royalties	Gas	405369.88	
MASSIF OIL & GAS	ONRR - Royalties	Oil	348453.76	
MASSIF OIL & GAS	ONRR/BLM - Rents	Oil & Gas	3156	
MATADOR RESOURCES CO	BLM - Permit Fees	Oil & Gas	978290	
MATADOR RESOURCES CO	ONRR - Other Revenues	Oil & Gas	1013642.03	
MATADOR RESOURCES CO	ONRR - Royalties	Gas	3249671.6	
MATADOR RESOURCES CO	ONRR - Royalties	Oil	17476931.86	
MATADOR RESOURCES CO	ONRR/BLM - Bonus	Oil & Gas	22372259	
MATADOR RESOURCES CO	ONRR/BLM - Rents	Oil & Gas	11071.5	
MATRIX PRODUCTION CO	ONRR - Other Revenues	Oil & Gas	1065.15	
MATRIX PRODUCTION CO	ONRR - Royalties	Gas	16742.07	
MATRIX PRODUCTION CO	ONRR - Royalties	Oil	92773.06	
MAURICE W BROWN OIL & GAS LLC	ONRR - Other Revenues	Oil & Gas	18521.3	
MAURICE W BROWN OIL & GAS LLC	ONRR/BLM - Bonus	Oil & Gas	3745852	
MAURICE W BROWN OIL & GAS LLC	ONRR/BLM - Rents	Oil & Gas	149509	
MAVERICK NATURAL RESOURCES LLC	BLM - Permit Fees	Oil & Gas	215	
MAVERICK NATURAL RESOURCES LLC	ONRR - Other Revenues	Oil & Gas	60253.49	
MAVERICK NATURAL RESOURCES LLC	ONRR - Royalties	Gas	2200441.21	
MAVERICK NATURAL RESOURCES LLC	ONRR - Royalties	Oil	3576797.59	
MAVERICK NATURAL RESOURCES LLC	ONRR/BLM - Rents	Oil & Gas	16470	
MAXIMUS OPERATING LTD	BLM - Permit Fees	Oil & Gas	39160	
MAXIMUS OPERATING LTD	ONRR - Royalties	Oil	102935.01	
MAXIMUS OPERATING LTD	ONRR/BLM - Rents	Oil & Gas	8943	
MBOGO ENERGY LLC	BLM - Permit Fees	Oil & Gas	1120	
MBOGO ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	610524	
MBOGO ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	30163.5	
MC MINING LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	163383.85	
