Year	State	Commodity	Type	Revenue
2005	WY	Other Products	Royalties	16280989.84
2005	WY	Sodium	Other Revenues	176518.62
2005	WY	Sodium	Rents	-13037
2006	AK	Oil & Gas	Other Revenues	80025.82
2006	AK	Oil	Other Revenues	-11.6
2006	AK	Gas	Other Royalties	180625.92
2006	AK	Oil & Gas	Other Royalties	-27895.87
2006	AK	Oil & Gas	Rents	8966799.41
2006	AK	Gas	Royalties	13993320.68
2006	AK	NGL	Royalties	139228.34
2006	AK	Oil	Royalties	1810092.43
2006	AK	Coal	Rents	5120
2006	AL	Oil & Gas	Other Revenues	4575.0599999999995
2006	AL	Oil & Gas	Other Royalties	8298.76
2006	AL	Gas	Royalties	780638.1599999999
2006	AL	NGL	Royalties	9.449999999999998
2006	AL	Oil	Royalties	648227.8999999998
2006	AL	Other Products	Royalties	21310.199999999997
2006	AL	Hardrock	Rents	-41
2006	AL	Oil & Gas	Rents	44812
2006	AL	Coal	Bonus	64113.6
2006	AL	Coal	Rents	4830
2006	AL	Oil & Gas	Bonus	175620
2006	AR	Gas	Royalties	8274401.210000001
2006	AR	Oil	Royalties	243.75
2006	AR	Oil & Gas	Rents	1486209
2006	AR	Oil & Gas	Bonus	7120378.99
2006	AR	Oil & Gas	Other Revenues	14114.14
2006	AR	Oil & Gas	Other Royalties	-42175.17
2006	AR	Hardrock	Other Revenues	1291
2006	AR	Hardrock	Rents	-31
2006	AR	Quartz	Rents	40
2006	AZ	Oil & Gas	Rents	61945.5
2006	AZ	Geothermal	Rents	4168
2006	AZ	Sodium	Rents	4
2006	CA	Gas	Royalties	5228800.99
2006	CA	Oil	Royalties	93078519.83000003
2006	CA	Oil & Gas	Bonus	2237089.75
2006	CA	Oil & Gas	Other Revenues	50191.479999999996
2006	CA	Oil & Gas	Rents	557104.98
2006	CA	NGL	Royalties	294589.25
2006	CA	Oil & Gas	Other Royalties	179964.05
2006	CA	Geothermal	Rents	106139
2006	CA	Geothermal	Royalties	11387545.969999999
2006	CA	Geothermal	Other Royalties	-125000
2006	CA	Oil & Gas	Royalties	-0.01
2006	CA	Geothermal	Other Revenues	1600
2006	CA	Sodium	Rents	9261
2006	CA	Other Products	Royalties	4883871.58
2006	CA	Sodium	Other Revenues	-240
2006	CO	Oil & Gas	Rents	6400396.29
2006	CO	Oil	Royalties	33952941.98
2006	CO	Oil & Gas	Other Revenues	267187.48
2006	CO	Oil & Gas	Other Royalties	-103916.28
2006	CO	Gas	Royalties	162935102.32
2006	CO	Oil & Gas	Bonus	27271302.5
2006	CO	NGL	Royalties	4601849.2
2006	CO	Coal	Bonus	555142.87
2006	CO	Coal	Rents	188146.40000000002
2006	CO	Other Products	Royalties	24641515.910000004
2006	CO	Oil	Other Revenues	-185.38
2006	CO	Oil & Gas	Royalties	-199.26
2006	CO	Coal	Royalties	48424625.78999999
2006	CO	Oil Shale	Other Revenues	20000
2006	CO	Sodium	Other Revenues	-18031
2006	CO	Oil Shale	Rents	15264
2006	CO	Sodium	Rents	-8224
2006	FL	Oil & Gas	Rents	12116.5
2006	ID	Oil & Gas	Rents	2712.5
2006	ID	Phosphate	Rents	19469
2006	ID	Phosphate	Other Revenues	100083
2006	ID	Hardrock	Rents	-180
2006	ID	Hardrock	Other Revenues	900
2006	ID	Gemstones	Rents	80
2006	IL	Oil	Royalties	271844.9
2006	IL	Oil & Gas	Other Revenues	175
2006	KS	Oil & Gas	Rents	33887.4
2006	KS	Gas	Royalties	4935394.680000001
2006	KS	Oil & Gas	Other Revenues	14663.410000000002
2006	KS	Gas	Other Royalties	216.83
