Month,Calendar Year,Land Class,Land Category,Commodity, Volume 
August,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,828,326 "
August,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,454,592 "
August,2011,Native American,Onshore,Gas Prod Vol (mcf)," 26,250,800 "
August,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,174,301 "
September,2011,Federal,Offshore,Gas Prod Vol (mcf)," 130,201,681 "
September,2011,Federal,Offshore,Oil Prod Vol (bbl)," 34,590,114 "
September,2011,Federal,Onshore,Coal Prod Vol (ton)," 37,324,003 "
September,2011,Federal,Onshore,Gas Prod Vol (mcf)," 314,535,990 "
September,2011,Federal,Onshore,Oil Prod Vol (bbl)," 9,552,119 "
September,2011,Native American,Onshore,Coal Prod Vol (ton)," 1,698,967 "
September,2011,Native American,Onshore,Gas Prod Vol (mcf)," 25,054,472 "
September,2011,Native American,Onshore,Oil Prod Vol (bbl)," 2,083,140 "
October,2011,Federal,Offshore,Gas Prod Vol (mcf)," 148,531,805 "
October,2011,Federal,Offshore,Oil Prod Vol (bbl)," 41,945,245 "
October,2011,Federal,Onshore,Coal Prod Vol (ton)," 40,660,412 "
October,2011,Federal,Onshore,Gas Prod Vol (mcf)," 332,615,486 "
October,2011,Federal,Onshore,Oil Prod Vol (bbl)," 10,041,599 "
October,2011,Native American,Onshore,Coal Prod Vol (ton)," 2,034,208 "
